Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
BPXOPLS1,Pulse - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXOPLS2,Pulse - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXOPLS3,Pulse - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXOSY1,Systolic - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXOSY2,Systolic - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXOSY3,Systolic - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
SEQN,Respondent sequence number.,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
OHAPOS,Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAREC,Overall recommendation for care,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHARNF,No significant findings,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROCCI,Clinical impression of soft tissue condition,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROCDE,Denture/Partial Denture/Plates,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROCDT,Decayed teeth,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROCGP,Gum disease/problem,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROCOH,Oral hygiene,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHAROTH,Some other finding (specify w/referral letter),P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHDEXSTS,Overall Oral Health Exam Status,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHDRCSTS,Recommendation Care Status Code,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
SEQN,Respondent sequence number.,P_OHXREF,Oral Health - Recommendation of Care,2017,2020,Examination,None
OHDDESTS,Dentition Status Code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHDEXSTS,Overall Oral Health Exam Status,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX01TC,Tooth Count: Upper right 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02CSC,"Coronal Caries: Upper right 2nd molar (2M) surface calls. These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02CTC,Coronal Caries: Upper right 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02RTC,Coronal Caries: Second restoration present - Upper right 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02SE,"Dental Sealants: Upper right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX02TC,Tooth Count: Upper right 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03CSC,"Coronal Caries: Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03CTC,Coronal Caries: Upper right 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03RTC,Coronal Caries: Second restoration present - Upper right 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03SE,"Dental Sealants: Upper right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX03TC,Tooth Count: Upper right 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04CSC,"Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04CTC,Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04RSC,"Coronal Caries: Secondary restoration surface call - Upper right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04RTC,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04SE,"Dental Sealants: Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX04TC,Tooth Count: Upper right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05CSC,"Coronal Caries: Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05CTC,Coronal Caries: Upper right 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05RSC,"Coronal Caries: Secondary restoration surface call - Upper right 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05RTC,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05SE,"Dental Sealants: Upper right 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX05TC,Tooth Count: Upper right 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX06CSC,"Coronal Caries: Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX06CTC,Coronal Caries: Upper right cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX06RSC,"Coronal Caries: Secondary restoration surface call - Upper right cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX06RTC,Coronal Caries: Second restoration present - Upper right cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX06TC,Tooth Count: Upper right cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07CSC,"Coronal Caries: Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07CTC,Coronal Caries: Upper right lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07RSC,"Coronal Caries: Secondary restoration surface call - Upper right lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07RTC,Coronal Caries: Second restoration present - Upper right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07SE,"Dental Sealants: Upper right lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX07TC,Tooth Count: Upper right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX08CSC,"Coronal Caries: Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX08CTC,Coronal Caries: Upper right central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX08RSC,"Coronal Caries: Secondary restoration surface call - Upper right central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX08RTC,Coronal Caries: Second restoration present - Upper right central incisor (CI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX08TC,Tooth Count: Upper right central incisor (CI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX09CSC,"Coronal Caries: Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX09CTC,Coronal Caries: Upper left central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX09RSC,"Coronal Caries: Secondary restoration surface call - Upper left central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX09RTC,Coronal Caries: Second restoration present - Upper left central incisor (CI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX09TC,Tooth Count: Upper left central incisor (CI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10CSC,"Coronal Caries: Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10CTC,Coronal Caries: Upper left lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10RSC,"Coronal Caries: Secondary restoration surface call - Upper left lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10RTC,Coronal Caries: Second restoration present - Upper left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10SE,"Dental Sealants: Upper left lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX10TC,Tooth Count: Upper left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX11CSC,"Coronal Caries: Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX11CTC,Coronal Caries: Upper left cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX11RSC,"Coronal Caries: Secondary restoration surface call - Upper left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX11RTC,Coronal Caries: Second restoration present - Upper left cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX11TC,Tooth Count: Upper left cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12CSC,"Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12CTC,Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12RSC,"Coronal Caries: Secondary restoration surface call - Upper left 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12RTC,Coronal Caries: Second restoration present - Upper left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12SE,"Dental Sealants: Upper left 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX12TC,Tooth Count: Upper left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13CSC,"Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13CTC,Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13RSC,"Coronal Caries: Secondary restoration surface call - Upper left 2nd bicuspid/1st primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13RTC,Coronal Caries: Second restoration present - Upper left 2nd bicuspid/1st primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13SE,"Dental Sealants: Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX13TC,Tooth Count: Upper left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14CSC,"Coronal Caries: Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14CTC,Coronal Caries: Upper left 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14RSC,"Coronal Caries: Secondary restoration surface call - Upper left 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14RTC,Coronal Caries: Second restoration present - Upper left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14SE,"Dental Sealants: Upper left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX14TC,Tooth Count: Upper left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15CSC,"Coronal Caries: Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15CTC,Coronal Caries: Upper left 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15RSC,"Coronal Caries: Secondary restoration surface call - Upper left 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15RTC,Coronal Caries: Second restoration present - Upper left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15SE,"Dental Sealants: Upper left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX15TC,Tooth Count: Upper left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX16TC,Tooth Count: Upper left 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX17TC,Tooth Count: Lower left 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18CSC,"Coronal Caries: Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18CTC,Coronal Caries: Lower left 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18RSC,"Coronal Caries: Secondary restoration surface call - Lower left 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18RTC,Coronal Caries: Second restoration present - Lower left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18SE,"Dental Sealants: Lower left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX18TC,Tooth Count: Lower left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19CSC,"Coronal Caries: Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19CTC,Coronal Caries: Lower left 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19RSC,"Coronal Caries: Secondary restoration surface call - Lower left 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19RTC,Coronal Caries: Second restoration present - Lower left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19SE,"Dental Sealants: Lower left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX19TC,Tooth Count: Lower left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20CSC,"Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20CTC,Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20RSC,"Coronal Caries: Secondary restoration surface call - Lower left 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20RTC,Coronal Caries: Second restoration present - Lower left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20SE,"Dental Sealants: Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX20TC,Tooth Count: Lower left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21CSC,"Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21CTC,Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21RSC,"Coronal Caries: Secondary restoration surface call - Lower left 1st bicuspid/2nd primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21RTC,Coronal Caries: Second restoration present - Lower left 1st bicuspid/2nd primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21SE,"Dental Sealants: Lower left 1st bicuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX21TC,Tooth Count: Lower left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX22CSC,"Coronal Caries: Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX22CTC,Coronal Caries: Lower left cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX22RSC,"Coronal Caries: Secondary restoration surface call - Lower left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX22RTC,Coronal Caries: Second restoration present - Lower left cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX22TC,Tooth Count: Lower left cuspid (C),P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX23CSC,"Coronal Caries: Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
OHX23CTC,Coronal Caries: Lower left lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,2017,2020,Examination,None
